ID,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms,Reached.on.Time_Y.N
1,D,Flight,4,2,177.0,3,low,F,44.0,1233.0,1
2,F,Flight,4,5,216.0,2,low,M,59.0,3088.0,1
3,A,Flight,2,2,183.0,4,low,M,48.0,3374.0,1
4,B,Flight,3,3,176.0,4,medium,M,10.0,1177.0,1
5,C,Flight,2,2,184.0,3,medium,F,46.0,2484.0,1
6,F,Flight,3,1,162.0,3,medium,F,12.0,1417.0,1
7,D,Flight,3,4,250.0,3,low,F,3.0,2371.0,1
8,F,Flight,4,1,233.0,2,low,F,48.0,2804.0,1
9,A,Flight,3,4,150.0,3,low,F,11.0,1861.0,1
10,B,Flight,3,2,164.0,3,medium,F,29.0,1187.0,1
11,C,Flight,3,4,189.0,2,medium,M,12.0,2888.0,1
12,F,Flight,4,5,232.0,3,medium,F,32.0,3253.0,1
13,D,Flight,3,5,198.0,3,medium,F,1.0,3667.0,1
14,F,Flight,4,4,275.0,3,high,M,29.0,2602.0,1
15,A,Flight,4,3,152.0,3,low,M,43.0,1009.0,1
16,B,Flight,4,3,227.0,3,low,F,45.0,2707.0,1
17,C,Flight,3,4,143.0,2,medium,F,6.0,1194.0,1
18,F,Ship,5,5,227.0,3,medium,M,36.0,3952.0,1
19,D,Ship,5,5,239.0,3,high,M,18.0,2495.0,1
20,F,Ship,4,5,145.0,3,medium,M,45.0,1059.0,1
21,A,Ship,3,3,161.0,2,medium,F,38.0,1521.0,1
22,B,Ship,3,1,232.0,4,medium,F,51.0,2899.0,1
23,C,Ship,2,5,156.0,2,low,M,2.0,1750.0,1
24,F,Ship,4,3,211.0,3,high,M,12.0,3922.0,1
25,D,Ship,4,5,251.0,2,medium,F,28.0,3561.0,1
26,F,Ship,3,1,225.0,4,low,M,29.0,3496.0,1
27,A,Ship,4,1,172.0,3,high,F,24.0,1066.0,1
28,B,Ship,5,1,162.0,3,medium,M,31.0,1435.0,1
29,C,Ship,2,3,234.0,4,low,M,44.0,3134.0,1
30,F,Ship,5,4,183.0,2,low,F,36.0,3819.0,1
31,D,Ship,3,4,266.0,2,medium,F,38.0,2741.0,1
32,F,Ship,5,3,257.0,2,low,F,61.0,3341.0,1
33,A,Ship,3,1,223.0,3,low,F,22.0,3795.0,1
34,B,Ship,4,2,234.0,3,medium,M,4.0,3261.0,1
35,C,Ship,4,2,227.0,4,medium,F,22.0,2460.0,1
36,F,Ship,5,4,149.0,3,medium,F,44.0,1811.0,1
37,D,Ship,3,5,137.0,4,high,F,62.0,1477.0,1
38,F,Ship,2,4,181.0,6,medium,F,16.0,3605.0,1
39,A,Ship,5,1,215.0,4,low,F,56.0,3905.0,1
40,B,Ship,4,2,269.0,5,low,F,45.0,2383.0,1
41,C,Ship,5,1,227.0,2,low,M,15.0,3798.0,1
42,F,Ship,5,5,139.0,4,medium,M,61.0,1265.0,1
43,D,Ship,3,5,137.0,2,medium,M,38.0,1647.0,1
44,F,Ship,3,1,174.0,2,low,M,44.0,1556.0,1
45,A,Ship,3,1,151.0,2,low,M,29.0,1328.0,1
46,B,Ship,5,1,210.0,3,low,F,9.0,2944.0,1
47,C,Ship,3,4,169.0,4,medium,F,32.0,1245.0,1
48,F,Ship,5,1,160.0,2,low,M,32.0,1576.0,1
49,D,Ship,5,4,190.0,2,medium,M,9.0,3753.0,1
50,F,Ship,5,3,216.0,3,low,F,40.0,2146.0,1
